kelurahan,kecamatan,kabupaten,provinsi,kodepos
'KOTO INDARUNG','KLUET TENGAH','ACEH SELATAN','ACEH','23756'
'LAWE MELANG','KLUET TENGAH','ACEH SELATAN','ACEH','23756'
'MALAKA','KLUET TENGAH','ACEH SELATAN','ACEH','23756'
'MERSAK','KLUET TENGAH','ACEH SELATAN','ACEH','23756'
'PULO AIR','KLUET TENGAH','ACEH SELATAN','ACEH','23756'
'SIMPANG TIGA','KLUET TENGAH','ACEH SELATAN','ACEH','23753'
'SIURAI URAI','KLUET TENGAH','ACEH SELATAN','ACEH','23756'
'AIR BERUDANG','TAPAK TUAN','ACEH SELATAN','ACEH','23719'
'AIR PINANG','TAPAK TUAN','ACEH SELATAN','ACEH','23719'
'BATU ITAM','TAPAK TUAN','ACEH SELATAN','ACEH','23719'
'GUNUNG KERAMBIL','TAPAK TUAN','ACEH SELATAN','ACEH','23719'
'HILIR','TAPAK TUAN','ACEH SELATAN','ACEH','23717'
'HULU','TAPAK TUAN','ACEH SELATAN','ACEH','23714'
'JAMBO APHA','TAPAK TUAN','ACEH SELATAN','ACEH','23716'
'LHOK BENGKUANG','TAPAK TUAN','ACEH SELATAN','ACEH','23715'
'LHOK BENGKUANG TIMUR','TAPAK TUAN','ACEH SELATAN','ACEH','23715'
'LHOK KETAPANG','TAPAK TUAN','ACEH SELATAN','ACEH','23718'
'LHOK RUKAM','TAPAK TUAN','ACEH SELATAN','ACEH','23719'
'PADANG','TAPAK TUAN','ACEH SELATAN','ACEH','23713'
'PANTON LUAS','TAPAK TUAN','ACEH SELATAN','ACEH','23719'
'PASAR','TAPAK TUAN','ACEH SELATAN','ACEH','23711'
'TEPI AIR','TAPAK TUAN','ACEH SELATAN','ACEH','23712'
'AIR SIALANG HILIR','SAMA DUA','ACEH SELATAN','ACEH','23752'
'AIR SIALANG HULU','SAMA DUA','ACEH SELATAN','ACEH','23752'
'AIR SIALANG TENGAH','SAMA DUA','ACEH SELATAN','ACEH','23752'
'ALUR PINANG','SAMA DUA','ACEH SELATAN','ACEH','23752'
'ARAFAH','SAMA DUA','ACEH SELATAN','ACEH','23752'
'BALAI','SAMA DUA','ACEH SELATAN','ACEH','23752'
'BARU','SAMA DUA','ACEH SELATAN','ACEH','23752'
'BATEE TUNGGAI','SAMA DUA','ACEH SELATAN','ACEH','23752'
'DALAM','SAMA DUA','ACEH SELATAN','ACEH','23752'
'GADANG','SAMA DUA','ACEH SELATAN','ACEH','23752'
'GUNUNG CUT','SAMA DUA','ACEH SELATAN','ACEH','23752'
'GUNUNG KETEK','SAMA DUA','ACEH SELATAN','ACEH','23752'
'JILATANG','SAMA DUA','ACEH SELATAN','ACEH','23752'
'KOTA BARU','SAMA DUA','ACEH SELATAN','ACEH','23754'
'KUTA BLANG','SAMA DUA','ACEH SELATAN','ACEH','23752'
'LADANG KASIK PUTIH','SAMA DUA','ACEH SELATAN','ACEH','23752'
'LADANG PANTON LUAS','SAMA DUA','ACEH SELATAN','ACEH','23752'
'LUAR','SAMA DUA','ACEH SELATAN','ACEH','23752'
'LUBUK LAYU','SAMA DUA','ACEH SELATAN','ACEH','23752'
'MADAT','SAMA DUA','ACEH SELATAN','ACEH','23752'
